ZIP_CODE,STATE,ZIP_TYPE,RUCA1,RUCA2
01368,MA,Zip Code Area,1,1.0
01370,MA,Zip Code Area,10,10.0
01373,MA,Zip Code Area,2,2.0
01375,MA,Zip Code Area,2,2.0
01376,MA,Zip Code Area,4,4.0
01378,MA,Zip Code Area,6,6.0
01379,MA,Zip Code Area,6,6.0
01380,MA,Post Office or large volume customer,6,6.0
01420,MA,Zip Code Area,1,1.0
01430,MA,Zip Code Area,2,2.0
01431,MA,Zip Code Area,2,2.0
01432,MA,Zip Code Area,1,1.0
01434,MA,Zip Code Area,2,2.0
01436,MA,Zip Code Area,1,1.0
01438,MA,Post Office or large volume customer,1,1.0
01440,MA,Zip Code Area,1,1.0
01441,MA,Post Office or large volume customer,1,1.0
01450,MA,Zip Code Area,1,1.0
01451,MA,Zip Code Area,2,2.0
01452,MA,Zip Code Area,2,2.0
01453,MA,Zip Code Area,1,1.0
01460,MA,Zip Code Area,1,1.0
01462,MA,Zip Code Area,1,1.0
01463,MA,Zip Code Area,1,1.0
01464,MA,Zip Code Area,1,1.0
01467,MA,Post Office or large volume customer,2,2.0
01468,MA,Zip Code Area,1,1.0
01469,MA,Zip Code Area,1,1.0
01470,MA,Post Office or large volume customer,1,1.0
01471,MA,Post Office or large volume customer,1,1.0
01472,MA,Post Office or large volume customer,1,1.0
01473,MA,Zip Code Area,1,1.0
01474,MA,Zip Code Area,1,1.0
01475,MA,Zip Code Area,1,1.0
01501,MA,Zip Code Area,1,1.0
01503,MA,Zip Code Area,1,1.0
01504,MA,Zip Code Area,1,1.0
01505,MA,Zip Code Area,1,1.0
01506,MA,Zip Code Area,2,2.0
01507,MA,Zip Code Area,2,2.0
01508,MA,Post Office or large volume customer,1,1.0
01509,MA,Post Office or large volume customer,1,1.0
01510,MA,Zip Code Area,1,1.0
01515,MA,Zip Code Area,2,2.0
01516,MA,Zip Code Area,1,1.0
01518,MA,Zip Code Area,1,1.0
01519,MA,Zip Code Area,1,1.0
01520,MA,Zip Code Area,1,1.0
01521,MA,Zip Code Area,2,2.0
01522,MA,Zip Code Area,1,1.0
01523,MA,Zip Code Area,1,1.0
01524,MA,Zip Code Area,1,1.0
01525,MA,Post Office or large volume customer,1,1.0
01526,MA,Post Office or large volume customer,1,1.0
01527,MA,Zip Code Area,1,1.0
01529,MA,Zip Code Area,1,1.0
01531,MA,Zip Code Area,3,3.0
01532,MA,Zip Code Area,1,1.0
01534,MA,Zip Code Area,1,1.0
01535,MA,Zip Code Area,2,2.0
01536,MA,Zip Code Area,1,1.0
01537,MA,Zip Code Area,1,1.0
01538,MA,Post Office or large volume customer,1,1.0
01540,MA,Zip Code Area,1,1.0
01541,MA,Zip Code Area,2,2.0
01542,MA,Zip Code Area,1,1.0
01543,MA,Zip Code Area,1,1.0
01545,MA,Zip Code Area,1,1.0
01546,MA,Post Office or large volume customer,1,1.0
01550,MA,Zip Code Area,1,1.0
01560,MA,Zip Code Area,1,1.0
01561,MA,Post Office or large volume customer,1,1.0
01562,MA,Zip Code Area,1,1.0
01564,MA,Zip Code Area,1,1.0
01566,MA,Zip Code Area,1,1.0
01568,MA,Zip Code Area,1,1.0
01569,MA,Zip Code Area,1,1.0
01570,MA,Zip Code Area,1,1.0
01571,MA,Zip Code Area,1,1.0
01581,MA,Zip Code Area,1,1.0
01583,MA,Zip Code Area,1,1.0
01585,MA,Zip Code Area,2,2.0
01586,MA,Post Office or large volume customer,1,1.0
01588,MA,Zip Code Area,1,1.0
01590,MA,Zip Code Area,1,1.0
01601,MA,Post Office or large volume customer,1,1.0
01602,MA,Zip Code Area,1,1.0
01603,MA,Zip Code Area,1,1.0
01604,MA,Zip Code Area,1,1.0
01605,MA,Zip Code Area,1,1.0
01606,MA,Zip Code Area,1,1.0
01607,MA,Zip Code Area,1,1.0
01608,MA,Zip Code Area,1,1.0
01609,MA,Zip Code Area,1,1.0
01610,MA,Zip Code Area,1,1.0
01611,MA,Zip Code Area,1,1.0
01612,MA,Zip Code Area,1,1.0
01613,MA,Post Office or large volume customer,1,1.0
01614,MA,Post Office or large volume customer,1,1.0
01615,MA,Post Office or large volume customer,1,1.0
01653,MA,Post Office or large volume customer,1,1.0
01655,MA,Post Office or large volume customer,1,1.0
01701,MA,Zip Code Area,1,1.0
01702,MA,Zip Code Area,1,1.0
01703,MA,Post Office or large volume customer,1,1.0
01704,MA,Post Office or large volume customer,1,1.0
01705,MA,Post Office or large volume customer,1,1.0
01718,MA,Zip Code Area,1,1.0
01719,MA,Zip Code Area,1,1.0
01720,MA,Zip Code Area,1,1.0
01721,MA,Zip Code Area,1,1.0
01730,MA,Zip Code Area,1,1.0
01731,MA,Zip Code Area,1,1.0
01740,MA,Zip Code Area,2,2.0
01741,MA,Zip Code Area,2,2.0
01742,MA,Zip Code Area,1,1.0
01745,MA,Zip Code Area,1,1.0
01746,MA,Zip Code Area,1,1.0
01747,MA,Zip Code Area,1,1.0
01748,MA,Zip Code Area,1,1.0
01749,MA,Zip Code Area,1,1.0
01752,MA,Zip Code Area,1,1.0
01754,MA,Zip Code Area,1,1.0
01756,MA,Zip Code Area,1,1.0
01757,MA,Zip Code Area,1,1.0
01760,MA,Zip Code Area,1,1.0
01770,MA,Zip Code Area,1,1.0
