ZIP_CODE,STATE,ZIP_TYPE,RUCA1,RUCA2
02761,MA,Post Office or large volume customer,1,1.0
02762,MA,Zip Code Area,1,1.0
02763,MA,Zip Code Area,1,1.0
02764,MA,Zip Code Area,1,1.0
02766,MA,Zip Code Area,1,1.0
02767,MA,Zip Code Area,1,1.0
02768,MA,Post Office or large volume customer,1,1.0
02769,MA,Zip Code Area,2,2.0
02770,MA,Zip Code Area,3,3.0
02771,MA,Zip Code Area,1,1.0
02777,MA,Zip Code Area,1,1.0
02779,MA,Zip Code Area,1,1.0
02780,MA,Zip Code Area,1,1.0
02790,MA,Zip Code Area,1,1.0
02791,MA,Post Office or large volume customer,3,3.0
05501,MA,Post Office or large volume customer,1,1.0
