"zcta","county","CountyName","ZIPName","pop20","afact"
"ZIP census tabulation area","County code","County name","ZIP Code name","Total population (2020 Census)","zcta-to-county allocation factor"
"02653","25001","Barnstable MA","Orleans, MA",6307,1 
"02655","25001","Barnstable MA","Osterville, MA",3591,1 
"02657","25001","Barnstable MA","Provincetown, MA",3664,1 
"02659","25001","Barnstable MA","South Chatham, MA",1100,1 
"02660","25001","Barnstable MA","South Dennis, MA",6662,1 
"02663","25001","Barnstable MA","South Wellfleet, MA (PO boxes)",257,1 
"02664","25001","Barnstable MA","South Yarmouth, MA",9935,1 
"02666","25001","Barnstable MA","Truro, MA (PO boxes)",1052,1 
"02667","25001","Barnstable MA","Wellfleet, MA",3309,1 
"02668","25001","Barnstable MA","West Barnstable, MA",3222,1 
"02670","25001","Barnstable MA","West Dennis, MA",1463,1 
"02671","25001","Barnstable MA","West Harwich, MA",1216,1 
"02672","25001","Barnstable MA","West Hyannisport, MA (PO boxes)",297,1 
"02673","25001","Barnstable MA","West Yarmouth, MA",8892,1 
"02675","25001","Barnstable MA","Yarmouth Port, MA",6712,1 
"02702","25005","Bristol MA","Assonet, MA",4267,1 
"02703","25005","Bristol MA","Attleboro, MA",46389,1 
"02713","25007","Dukes MA","Cuttyhunk, MA (PO boxes)",39,1 
"02715","25005","Bristol MA","Dighton, MA",4036,1 
"02717","25005","Bristol MA","East Freetown, MA",4951,1 
"02718","25005","Bristol MA","East Taunton, MA",6882,1 
"02719","25005","Bristol MA","Fairhaven, MA",15924,1 
"02720","25005","Bristol MA","Fall River, MA",31209,1 
"02721","25005","Bristol MA","Fall River, MA",28075,1 
"02723","25005","Bristol MA","Fall River, MA",16084,1 
"02724","25005","Bristol MA","Fall River, MA",18050,1 
"02725","25005","Bristol MA","Somerset, MA",2632,1 
"02726","25005","Bristol MA","Somerset, MA",15671,1 
"02738","25023","Plymouth MA","Marion, MA",5347,1 
"02739","25023","Plymouth MA","Mattapoisett, MA",6508,1 
"02740","25005","Bristol MA","New Bedford, MA",45166,1 
"02743","25005","Bristol MA","Acushnet, MA",10434,1 
"02744","25005","Bristol MA","New Bedford, MA",13055,1 
"02745","25005","Bristol MA","New Bedford, MA",25336,1 
"02746","25005","Bristol MA","New Bedford, MA",17355,1 
"02747","25005","Bristol MA","North Dartmouth, MA",22326,1 
"02748","25005","Bristol MA","South Dartmouth, MA",11888,1 
"02760","25005","Bristol MA","North Attleboro, MA",28716,1 
"02762","25021","Norfolk MA","Plainville, MA",9945,1 
"02763","25005","Bristol MA","Attleboro Falls, MA",2118,1 
"02764","25005","Bristol MA","North Dighton, MA",4081,1 
"02766","25005","Bristol MA","Norton, MA",19202,1 
"02767","25005","Bristol MA","Raynham, MA",15376,1 
"02769","25005","Bristol MA","Rehoboth, MA",12521,1 
"02770","25023","Plymouth MA","Rochester, MA",5560,1 
"02771","25005","Bristol MA","Seekonk, MA",15512,1 
"02777","25005","Bristol MA","Swansea, MA",17133,1 
"02779","25005","Bristol MA","Berkley, MA",6764,1 
"02780","25005","Bristol MA","Taunton, MA",52299,1 
"02790","25005","Bristol MA","Westport, MA",16458,1 
"02791","25005","Bristol MA","Westport Point, MA (PO boxes)",312,1 
"02861","25005","Bristol MA","Pawtucket, RI",72,1 
