"zcta","county","CountyName","ZIPName","pop20","afact"
"ZIP census tabulation area","County code","County name","ZIP Code name","Total population (2020 Census)","zcta-to-county allocation factor"
"01440","25027","Worcester MA","Gardner, MA",21577,1 
"01450","25017","Middlesex MA","Groton, MA",11298,1 
"01451","25027","Worcester MA","Harvard, MA",5461,1 
"01452","25027","Worcester MA","Hubbardston, MA",4328,1 
"01453","25027","Worcester MA","Leominster, MA",43752,1 
"01460","25017","Middlesex MA","Littleton, MA",10141,1 
"01462","25027","Worcester MA","Lunenburg, MA",11818,1 
"01463","25017","Middlesex MA","Pepperell, MA",11621,1 
"01464","25017","Middlesex MA","Shirley, MA",7427,1 
"01468","25027","Worcester MA","Templeton, MA",4309,1 
"01469","25017","Middlesex MA","Townsend, MA",7055,1 
"01473","25027","Worcester MA","Westminster, MA",8213,1 
"01474","25017","Middlesex MA","West Townsend, MA",2072,1 
"01475","25027","Worcester MA","Winchendon, MA",10304,1 
"01501","25027","Worcester MA","Auburn, MA",16731,1 
"01503","25027","Worcester MA","Berlin, MA",3158,1 
"01504","25027","Worcester MA","Blackstone, MA",9208,1 
"01505","25027","Worcester MA","Boylston, MA",4849,1 
"01506","25027","Worcester MA","Brookfield, MA",3439,1 
"01507","25027","Worcester MA","Charlton, MA",13315,1 
"01510","25027","Worcester MA","Clinton, MA",15428,1 
"01515","25027","Worcester MA","East Brookfield, MA",2224,1 
"01516","25027","Worcester MA","Douglas, MA",8962,1 
"01518","25027","Worcester MA","Fiskdale, MA",3176,1 
"01519","25027","Worcester MA","Grafton, MA",7254,1 
"01520","25027","Worcester MA","Holden, MA",16394,1 
"01521","25013","Hampden MA","Holland, MA",2603,1 
"01522","25027","Worcester MA","Jefferson, MA",3464,1 
"01523","25027","Worcester MA","Lancaster, MA",8377,1 
"01524","25027","Worcester MA","Leicester, MA",6621,1 
"01525","25027","Worcester MA","Linwood, MA (PO boxes)",73,1 
"01527","25027","Worcester MA","Millbury, MA",13799,1 
"01529","25027","Worcester MA","Millville, MA",3174,1 
"01531","25027","Worcester MA","New Braintree, MA",996,1 
"01532","25027","Worcester MA","Northborough, MA",15741,1 
"01534","25027","Worcester MA","Northbridge, MA",6233,1 
"01535","25027","Worcester MA","North Brookfield, MA",4735,1 
"01536","25027","Worcester MA","North Grafton, MA",7514,1 
"01537","25027","Worcester MA","North Oxford, MA",2141,1 
"01540","25027","Worcester MA","Oxford, MA",11032,1 
"01541","25027","Worcester MA","Princeton, MA",3495,1 
"01542","25027","Worcester MA","Rochdale, MA",2366,1 
"01543","25027","Worcester MA","Rutland, MA",9049,1 
"01545","25027","Worcester MA","Shrewsbury, MA",38316,1 
"01550","25027","Worcester MA","Southbridge, MA",17740,1 
"01560","25027","Worcester MA","South Grafton, MA",4896,1 
"01561","25027","Worcester MA","South Lancaster, MA (PO boxes)",64,1 
"01562","25027","Worcester MA","Spencer, MA",11992,1 
"01564","25027","Worcester MA","Sterling, MA",7985,1 
"01566","25027","Worcester MA","Sturbridge, MA",6691,1 
"01568","25027","Worcester MA","Upton, MA",7900,1 
"01569","25027","Worcester MA","Uxbridge, MA",14193,1 
"01570","25027","Worcester MA","Webster, MA",17776,1 
"01571","25027","Worcester MA","Dudley, MA",11921,1 
"01581","25027","Worcester MA","Westborough, MA",21567,1 
"01583","25027","Worcester MA","West Boylston, MA",7652,1 
"01585","25027","Worcester MA","West Brookfield, MA",4899,1 
"01588","25027","Worcester MA","Whitinsville, MA",10106,1 
"01590","25027","Worcester MA","Sutton, MA",9279,1 
"01602","25027","Worcester MA","Worcester, MA",25382,1 
"01603","25027","Worcester MA","Worcester, MA",22417,1 
"01604","25027","Worcester MA","Worcester, MA",41301,1 
"01605","25027","Worcester MA","Worcester, MA",29218,1 
"01606","25027","Worcester MA","Worcester, MA",21651,1 
"01607","25027","Worcester MA","Worcester, MA",9378,1 
"01608","25027","Worcester MA","Worcester, MA",4996,1 
"01609","25027","Worcester MA","Worcester, MA",23870,1 
"01610","25027","Worcester MA","Worcester, MA",28717,1 
"01611","25027","Worcester MA","Cherry Valley, MA",2277,1 
"01612","25027","Worcester MA","Paxton, MA",5051,1 
"01701","25017","Middlesex MA","Framingham, MA",33005,1 
"01702","25017","Middlesex MA","Framingham, MA",39515,1 
"01718","25017","Middlesex MA","Acton, MA",688,1 
"01719","25017","Middlesex MA","Boxborough, MA",5506,1 
"01720","25017","Middlesex MA","Acton, MA",23232,1 
"01721","25017","Middlesex MA","Ashland, MA",18832,1 
"01730","25017","Middlesex MA","Bedford, MA",14566,1 
"01731","25017","Middlesex MA","Hanscom AFB, MA",1555,1 
"01740","25027","Worcester MA","Bolton, MA",5665,1 
"01741","25017","Middlesex MA","Carlisle, MA",5237,1 
"01742","25017","Middlesex MA","Concord, MA",18545,1 
"01745","25027","Worcester MA","Fayville, MA",433,1 
"01746","25017","Middlesex MA","Holliston, MA",14996,1 
"01747","25027","Worcester MA","Hopedale, MA",6017,1 
"01748","25017","Middlesex MA","Hopkinton, MA",18758,1 
"01749","25017","Middlesex MA","Hudson, MA",20092,1 
"01752","25017","Middlesex MA","Marlborough, MA",41793,1 
"01754","25017","Middlesex MA","Maynard, MA",10730,1 
"01756","25027","Worcester MA","Mendon, MA",6228,1 
"01757","25027","Worcester MA","Milford, MA",30479,1 
"01760","25017","Middlesex MA","Natick, MA",36659,1 
"01770","25017","Middlesex MA","Sherborn, MA",4401,1 
"01772","25027","Worcester MA","Southborough, MA",10017,1 
"01773","25017","Middlesex MA","Lincoln, MA",5651,1 
"01775","25017","Middlesex MA","Stow, MA",7190,1 
"01776","25017","Middlesex MA","Sudbury, MA",18934,1 
"01778","25017","Middlesex MA","Wayland, MA",14132,1 
"01801","25017","Middlesex MA","Woburn, MA",40891,1 
"01803","25017","Middlesex MA","Burlington, MA",26074,1 
"01810","25009","Essex MA","Andover, MA",35621,1 
"01821","25017","Middlesex MA","Billerica, MA",30909,1 
"01824","25017","Middlesex MA","Chelmsford, MA",26881,1 
"01826","25009","Essex MA","Dracut, MA",111,0.0034 
"01826","25017","Middlesex MA","Dracut, MA",32578,0.9966 
"01827","25017","Middlesex MA","Dunstable, MA",3358,1 
"01830","25009","Essex MA","Haverhill, MA",27553,1 
"01832","25009","Essex MA","Haverhill, MA",25656,1 
"01833","25009","Essex MA","Georgetown, MA",8410,1 
"01834","25009","Essex MA","Groveland, MA",6752,1 
"01835","25009","Essex MA","Haverhill, MA",14578,1 
"01840","25009","Essex MA","Lawrence, MA",7121,1 
"01841","25009","Essex MA","Lawrence, MA",53654,1 
"01843","25009","Essex MA","Lawrence, MA",28346,1 
"01844","25009","Essex MA","Methuen, MA",52970,1 
"01845","25009","Essex MA","North Andover, MA",31855,1 
"01850","25017","Middlesex MA","Lowell, MA",16670,1 
"01851","25017","Middlesex MA","Lowell, MA",32691,1 
"01852","25017","Middlesex MA","Lowell, MA",36708,1 
"01854","25017","Middlesex MA","Lowell, MA",29561,1 
"01860","25009","Essex MA","Merrimac, MA",6723,1 
"01862","25017","Middlesex MA","North Billerica, MA",11430,1 
"01863","25017","Middlesex MA","North Chelmsford, MA",9536,1 
"01864","25017","Middlesex MA","North Reading, MA",15554,1 
"01867","25017","Middlesex MA","Reading, MA",25522,1 
"01876","25009","Essex MA","Tewksbury, MA",8,0.0003 
"01876","25017","Middlesex MA","Tewksbury, MA",31097,0.9997 
"01879","25017","Middlesex MA","Tyngsboro, MA",12368,1 
"01880","25017","Middlesex MA","Wakefield, MA",27071,1 
"01886","25017","Middlesex MA","Westford, MA",24618,1 
"01887","25017","Middlesex MA","Wilmington, MA",23349,1 
"01890","25017","Middlesex MA","Winchester, MA",22970,1 
"01901","25009","Essex MA","Lynn, MA",2794,1 
"01902","25009","Essex MA","Lynn, MA",50725,1 
"01904","25009","Essex MA","Lynn, MA",19944,1 
"01905","25009","Essex MA","Lynn, MA",27761,1 
"01906","25009","Essex MA","Saugus, MA",28619,1 
"01907","25009","Essex MA","Swampscott, MA",15148,1 
"01908","25009","Essex MA","Nahant, MA",3334,1 
"01913","25009","Essex MA","Amesbury, MA",17366,1 
"01915","25009","Essex MA","Beverly, MA",42341,1 
"01921","25009","Essex MA","Boxford, MA",8263,1 
